"rowNumber","productName","productCode","error"
2,"Multicolor Hair Pins for Girls & Women","N/A","productCode is missing"
3,"Silver Rhinestone Double Hoop Drop Earrings with Sparkling Crystal Design","N/A","productCode is missing"
4,"Gold Tone Oval Stud Earrings with Elegant Pearl Drop Design","N/A","productCode is missing"
5,"Gold Tone Oval Stud Earrings with Elegant Pearl Drop Design","N/A","productCode is missing"
6,"Gold Tone Oval Stud Earrings with Elegant Pearl Drop Design","N/A","productCode is missing"
7,"Gold Tone Round Crystal Stud Earrings for Women","N/A","productCode is missing"
8,"Silver Square Crystal Stud Earrings for Women","N/A","productCode is missing"
9,"Pink Butterfly Stud Earrings for Girls & Women","N/A","productCode is missing"
10,"Pink Floral Crystal Drop Earrings for Women","N/A","productCode is missing"
11,"Black Oval Crystal Drop Earrings for Women with  Loop Detailing","N/A","productCode is missing"
12,"Iridescent Round Pearl Stud Earrings for Elegant Shimmering Finish","N/A","productCode is missing"
13,"White Rounded Square Stud Earrings for Women with Silver Tone","N/A","productCode is missing"
14,"Silver Round Crystal Stud Earrings for Women","N/A","productCode is missing"
15,"Silver Rectangular Stud Earrings for Women","N/A","productCode is missing"
16,"Multicolor Triangle Crystal Stud Earrings for Women","N/A","productCode is missing"
17,"Gold Tone Oval Rhinestone Drop Earrings for Women","N/A","productCode is missing"
18,"Red and Clear Crystal Drop Earrings for Women","N/A","productCode is missing"
19,"Multicolor Floral Crystal Stud Earrings for Women","N/A","productCode is missing"
21,"Multicolor Floral Crystal Stud Earrings for Women","N/A","productCode is missing"
35,"Multicolor Floral Crystal Stud Earrings for Women","N/A","productCode is missing"
20,"Silver Crystal Drop Earrings with Multicolor Leaf Shaped Gemstone","N/A","productCode is missing"
22,"Silver and Black Cluster Crystal Stud Earrings for Women","N/A","productCode is missing"
23,"Black and Silver Double Loop Crystal Stud Earrings for Women","N/A","productCode is missing"
24,"Silver Bow Shape Crystal Stud Earrings for Women","N/A","productCode is missing"
25,"Silver Star Shape Rhinestone Stud Earrings for Women","N/A","productCode is missing"
26,"Gold Tone Crystal Bow Stud Earrings for Women","N/A","productCode is missing"
27,"Multicolor Round Beaded Stud Earrings for Women","N/A","productCode is missing"
28,"Multicolor Pastel Bead Drop Earrings for Women","N/A","productCode is missing"
29,"Silver V Shape Crystal Drop Earrings for Women","N/A","productCode is missing"
30,"Gold Tone Floral Cluster Stud Earrings for Women","N/A","productCode is missing"
31,"Beige Floral Crystal Stud Earrings for Women","N/A","productCode is missing"
32,"Multicolor Star Shape Crystal Stud Earrings for Women","N/A","productCode is missing"
33,"Gold Tone Crystal Bow Drop Earrings for Women","N/A","productCode is missing"
34,"Silver Floral Crystal Drop Earrings for Women","N/A","productCode is missing"
36,"Multicolor Green Beaded Floral Stud Earrings for Women","N/A","productCode is missing"
37,"Red and Gold Tone Crystal Stud Earrings for Women","N/A","productCode is missing"
38,"Gold Tone Heart Shape Crystal Drop Earrings for Women","N/A","productCode is missing"
39,"Silver Double Circle Crystal Drop Earrings for Women","N/A","productCode is missing"
40,"Green Oval Crystal Drop Earrings for Women","N/A","productCode is missing"
41,"Flower Earings for Girls & Women","N/A","productCode is missing"
41,"Flower Earings for Girls & Women","N/A","Sale price (199) must be less than base price (199)"
42,"Flower Earings for Girls & Women","N/A","productCode is missing"
42,"Flower Earings for Girls & Women","N/A","Sale price (199) must be less than base price (199)"
43,"Silver Round Crystal Drop Earrings for Women","N/A","productCode is missing"
44,"Crystal Drop Earrings for Women with Square Gemstone Detailing","N/A","productCode is missing"
45,"Crystal Drop Earrings for Women with Square Gemstone Detailing","N/A","productCode is missing"
46,"Gold Tone Teardrop Crystal Pendant Necklace for Women","N/A","productCode is missing"
47,"Gold Tone Pink Crystal Pendant Necklace for Women","N/A","productCode is missing"
48,"Gold Tone Red Heart Crystal Pendant Necklace for Women","N/A","productCode is missing"
